com.samsung.shealth.exercise,6307003,17
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,ftp,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.client_data_id,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.client_data_ver,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.auxiliary_devices,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
ae9eb1f9-8c49-4908-8ccd-004c1014b0f3.live_data_internal.json,,0,,,,29.605913,,,,,ae9eb1f9-8c49-4908-8ccd-004c1014b0f3.sensing_status.json,1,,,,,,,,,,,,,,,16511,,63060070,,,2025-12-10 17:29:02.074,1001,,843.62,,82.0,30001,,841.619,63060070,83.0,2025-12-10 17:59:37.307,2025-12-10 17:59:37.307,,,,,82.0,,0,0.0,,0.559,,,,UTC-0300,9cX1oNetDs,,,ae9eb1f9-8c49-4908-8ccd-004c1014b0f3.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,0.0,,,,2025-12-10 17:59:35.493,ae9eb1f9-8c49-4908-8ccd-004c1014b0f3,,
521c4f9b-989f-4628-8b50-cda0fc0afe7c.live_data_internal.json,,,,,,3.097,,,,,521c4f9b-989f-4628-8b50-cda0fc0afe7c.sensing_status.json,1,,,,,,,7,,,,,,,,43696,,,,,2023-10-10 17:32:13.287,11007,,,,93.0,,,,,95.0,2023-10-10 17:32:57.329,2023-10-10 17:32:57.329,,,,,92.0,,0,,,3.097,,,,UTC-0300,60rRju/E5J,,,521c4f9b-989f-4628-8b50-cda0fc0afe7c.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,,2023-10-10 17:32:56.983,521c4f9b-989f-4628-8b50-cda0fc0afe7c,,
980ec0f3-ff47-4a9d-bde6-da7b379d20e7.live_data_internal.json,,,,,,433.5187,,,,,980ec0f3-ff47-4a9d-bde6-da7b379d20e7.sensing_status.json,1,,,,,,,4879,,,,,,,,4911505,,,,,2023-10-11 23:46:23.862,0,,,,101.0,,,,,121.0,2023-10-12 01:08:22.427,2023-10-12 01:08:22.427,,,,,84.0,,,0.0,,433.50998,,,,UTC-0300,60rRju/E5J,,,980ec0f3-ff47-4a9d-bde6-da7b379d20e7.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,,,,,2023-10-12 01:08:15.886,980ec0f3-ff47-4a9d-bde6-da7b379d20e7,,
25ea6c39-148a-466a-b606-51884b3a833e.live_data_internal.json,,,,,,198.38292,,,,,25ea6c39-148a-466a-b606-51884b3a833e.sensing_status.json,1,,,,,,,1344,,,,,25ea6c39-148a-466a-b606-51884b3a833e.location_data_internal.json,,,1363829,,,,25ea6c39-148a-466a-b606-51884b3a833e.com.samsung.health.exercise.location_data.json,2023-10-12 20:10:51.482,1001,,818.111,86.918,130.0,30001,,791.368,,149.0,2023-10-12 20:52:43.180,2023-10-12 20:52:43.180,,,2.409,99.469955,111.0,,2261,1737.302,,179.169,161.0,264.664,35.26,UTC-0300,60rRju/E5J,,,25ea6c39-148a-466a-b606-51884b3a833e.com.samsung.health.exercise.live_data.json,,1.2738415,com.sec.android.app.shealth,10.07,,,,2023-10-12 20:52:36.523,25ea6c39-148a-466a-b606-51884b3a833e,,
d20b7544-bf9b-4878-9e10-b2919edb77c7.live_data_internal.json,,,,,,683.03107,,,,,d20b7544-bf9b-4878-9e10-b2919edb77c7.sensing_status.json,1,,,,,,,7172,,,,,,,,7213436,,,,,2023-10-15 00:24:21.867,0,,,,111.0,,,,,160.0,2023-10-15 02:24:43.377,2023-10-15 02:24:43.377,,,,,87.0,,,0.0,,683.01996,,,,UTC-0300,60rRju/E5J,,,d20b7544-bf9b-4878-9e10-b2919edb77c7.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,,,,,2023-10-15 02:24:35.962,d20b7544-bf9b-4878-9e10-b2919edb77c7,,
677fd241-dd24-4283-86a4-4ab3f86b3fe3.live_data_internal.json,,,,,,273.91263,,,,,677fd241-dd24-4283-86a4-4ab3f86b3fe3.sensing_status.json,1,,,,,,,,,,,,677fd241-dd24-4283-86a4-4ab3f86b3fe3.location_data_internal.json,,,2378443,,,,677fd241-dd24-4283-86a4-4ab3f86b3fe3.com.samsung.health.exercise.location_data.json,2023-10-22 19:28:49.879,11007,,785.445,17.803,140.0,,,779.869,,159.0,2023-10-22 20:18:50.357,2023-10-22 20:18:50.357,,,13.902,,83.0,,0,7091.424,,263.539,,2.321,,UTC-0300,60rRju/E5J,,,677fd241-dd24-4283-86a4-4ab3f86b3fe3.com.samsung.health.exercise.live_data.json,,2.9815402,com.sec.android.app.shealth,0.0,,,,2023-10-22 20:18:44.465,677fd241-dd24-4283-86a4-4ab3f86b3fe3,,
1dbf3f07-69d6-4849-bae1-a897d12a7040.live_data_internal.json,,,,,,22.143482,,,,,1dbf3f07-69d6-4849-bae1-a897d12a7040.sensing_status.json,1,,,,,,,,,,,,,,,16266,,,,,2023-10-24 11:55:59.746,1001,,,,91.0,30001,,,,99.0,2023-10-24 12:17:58.638,2023-10-24 12:17:58.638,,,,,82.0,,0,0.0,,0.589,,,,UTC-0300,60rRju/E5J,,,1dbf3f07-69d6-4849-bae1-a897d12a7040.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,0.0,,,,2023-10-24 12:17:52.728,1dbf3f07-69d6-4849-bae1-a897d12a7040,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,1648000,,,,,2023-11-13 11:13:32.000,1001,,,,,30001,,,,,2023-11-13 11:42:06.448,2023-11-13 11:42:06.448,,,2.0,,,,2586,1904.12,,80.31,,,,UTC-0300,zygK3IiKBU,,,38645c11-82fe-47c7-955f-41038a62af40.com.samsung.health.exercise.live_data.json,,1.1554126,com.sec.android.app.shealth,,,,,2023-11-13 11:41:00.000,38645c11-82fe-47c7-955f-41038a62af40,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,780000,,,,,2023-11-14 21:59:00.000,1001,,,,,30001,,,,,2023-11-14 22:16:01.377,2023-11-14 22:16:01.377,,,1.4444444,,,,1454,1048.08,,43.74,,,,UTC-0300,zygK3IiKBU,,,cc94d4b7-2c52-4b74-a4bc-4245efe92df0.com.samsung.health.exercise.live_data.json,,1.3436922,com.sec.android.app.shealth,,,,,2023-11-14 22:12:00.000,cc94d4b7-2c52-4b74-a4bc-4245efe92df0,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,660000,,,,,2023-11-19 15:35:00.000,1001,,,,,30001,,,,,2023-11-19 15:47:02.336,2023-11-19 15:47:02.336,,,2.6666667,,,,1121,889.3,,35.62,,,,UTC-0300,zygK3IiKBU,,,b5340a06-5203-4877-a55d-e5da3e611936.com.samsung.health.exercise.live_data.json,,1.3474241,com.sec.android.app.shealth,,,,,2023-11-19 15:46:00.000,b5340a06-5203-4877-a55d-e5da3e611936,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,710000,,,,,2023-11-19 16:06:10.000,1001,,,,,30001,,,,,2023-11-19 16:28:57.847,2023-11-19 16:28:57.847,,,1.9444444,,,,1321,1033.6901,,40.05,,,,UTC-0300,zygK3IiKBU,,,d46562a4-8a0d-44ca-814f-dad1a2988832.com.samsung.health.exercise.live_data.json,,1.4559014,com.sec.android.app.shealth,,,,,2023-11-19 16:18:00.000,d46562a4-8a0d-44ca-814f-dad1a2988832,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,780000,,,,,2023-11-24 23:07:00.000,1001,,,,,30001,,,,,2023-11-24 23:32:48.443,2023-11-24 23:32:48.443,,,2.1388888,,,,1308,949.72,,40.14,,,,UTC-0300,zygK3IiKBU,,,5993a591-9e66-427a-800c-728d47861dd3.com.samsung.health.exercise.live_data.json,,1.2175897,com.sec.android.app.shealth,,,,,2023-11-24 23:20:00.000,5993a591-9e66-427a-800c-728d47861dd3,,
