com.samsung.shealth.stress,6307003,8
create_sh_ver,start_time,custom,binning_data,tag_id,modify_sh_ver,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,2023-11-04 19:14:18.000,,,10000,,2023-11-04 19:14:19.315,2023-11-04 19:14:19.315,,,34.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-11-04 19:14:18.000,5800edee-142f-413c-a156-d0a481159801,
,2023-10-10 20:00:00.000,,d1e282d3-38f7-4497-8b83-f79df6c22a9e.binning_data.json,10011,,2023-10-10 21:01:01.006,2023-10-10 21:01:01.006,100.0,14.0,57.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-10 20:59:59.999,d1e282d3-38f7-4497-8b83-f79df6c22a9e,
,2023-10-10 19:00:00.000,,0454d92f-01d1-423b-8910-13c9470420dc.binning_data.json,10011,,2023-10-10 20:03:38.142,2023-10-10 20:03:38.142,99.0,9.0,54.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-10 19:59:59.999,0454d92f-01d1-423b-8910-13c9470420dc,
,2023-10-10 17:00:00.000,,0b546f53-30ea-4888-8b1f-af50220873b9.binning_data.json,10011,,2023-10-10 18:01:00.654,2023-10-10 17:38:11.424,98.0,18.0,65.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-10 17:59:59.999,0b546f53-30ea-4888-8b1f-af50220873b9,
,2023-10-10 18:00:00.000,,d6df81bd-627a-4b8d-b730-6a066d6ae524.binning_data.json,10011,,2023-10-10 19:01:00.922,2023-10-10 19:01:00.922,97.0,19.0,73.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-10 18:59:59.999,d6df81bd-627a-4b8d-b730-6a066d6ae524,
,2023-10-10 21:00:00.000,,9bad98e1-5cb3-40a2-8a21-7d1cbdb2932b.binning_data.json,10011,,2023-10-10 22:01:04.771,2023-10-10 21:26:31.088,100.0,0.0,71.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-10 21:59:59.999,9bad98e1-5cb3-40a2-8a21-7d1cbdb2932b,
,2023-10-10 22:00:00.000,,3f57ecf9-0468-4c99-922b-1b12c61aa3d1.binning_data.json,10011,,2023-10-10 22:04:45.172,2023-10-10 22:04:33.604,98.0,58.0,88.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-10 22:04:45.156,3f57ecf9-0468-4c99-922b-1b12c61aa3d1,
,2023-10-11 13:04:53.000,,,10000,,2023-10-11 13:04:53.846,2023-10-11 13:04:53.846,,,33.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-11 13:04:53.000,e6c217bd-2fc2-4828-bac4-9414626e7fd2,
,2023-10-11 14:45:13.000,,,10000,,2023-10-11 14:45:14.167,2023-10-11 14:45:14.167,,,30.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-11 14:45:13.000,9b002609-32f2-4910-a83a-e39893831c9d,
,2023-10-13 02:22:24.000,,,10000,,2023-10-13 02:22:24.557,2023-10-13 02:22:24.557,,,99.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-13 02:22:24.000,b1eb78ab-15d6-4489-bfd8-6708c87f6a90,
,2023-10-16 01:49:04.000,,,10000,,2023-10-16 01:49:04.358,2023-10-16 01:49:04.358,,,100.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-16 01:49:04.000,2d3d5f80-cded-4aa9-acfe-bcccdda9c3d6,
,2023-10-16 22:41:03.000,,,10000,,2023-10-16 22:41:03.931,2023-10-16 22:41:03.931,,,94.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-16 22:41:03.000,cfaa89d1-6b4a-434a-89b6-7e4076415b1b,
,2023-10-19 16:17:03.000,,,10000,,2023-10-19 16:17:03.194,2023-10-19 16:17:03.194,,,73.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-19 16:17:03.000,5d6eec30-a21e-4982-8842-cdf5e5b25f9b,
,2023-10-20 22:33:10.000,,,10000,,2023-10-20 22:33:10.411,2023-10-20 22:33:10.411,,,98.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-20 22:33:10.000,1104185f-9203-447c-9273-2eb657bb66c4,
,2023-10-26 17:35:25.000,,,10000,,2023-10-26 17:35:25.824,2023-10-26 17:35:25.824,,,93.0,,UTC-0300,60rRju/E5J,,com.sec.android.app.shealth,2023-10-26 17:35:25.000,1cd9fb11-21ee-4c06-befc-01fc4e03dff4,
