com.samsung.shealth.tracker.floors_day_summary,6307003,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
63060070,8690f4e5-e5de-40d3-aa71-73c9c118e141.binning_data.json,63070030,2025-12-16 01:01:39.721,2025-12-10 14:24:00.882,13,2,bvFPH0+ZC9,com.sec.android.app.shealth,8690f4e5-e5de-40d3-aa71-73c9c118e141,1765324800000,
63060070,,63070030,2025-12-16 01:01:39.838,2025-12-10 14:24:01.024,22,1,bvFPH0+ZC9,com.sec.android.app.shealth,e372e6a7-bb3d-41f5-bea5-2bc628e20d21,1764979200000,
63060070,,63070030,2025-12-16 01:01:39.863,2025-12-10 14:24:01.037,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,74a7121d-fa69-4dcd-b9fe-47d92be589ae,1764806400000,
63060070,,63070030,2025-12-16 01:01:39.875,2025-12-10 14:24:01.060,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,5abc632e-81f8-4cfb-9cce-3eb3a25abc46,1765238400000,
63060070,601dd100-ef53-4f45-8246-35d774292293.binning_data.json,63070030,2025-12-16 01:01:39.812,2025-12-11 12:08:42.685,7,2,bvFPH0+ZC9,com.sec.android.app.shealth,601dd100-ef53-4f45-8246-35d774292293,1765411200000,
63060070,,63060070,2025-12-12 13:16:12.890,2025-12-12 13:16:12.890,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,660c91a1-3f98-4401-867b-9fd6c2c9467a,1710547200000,
63060070,,63060070,2025-12-12 13:16:12.927,2025-12-12 13:16:12.927,10,1,bvFPH0+ZC9,com.sec.android.app.shealth,fb262668-8462-423f-b276-262d6c5c6cbd,1723248000000,
63060070,,63060070,2025-12-12 13:16:12.944,2025-12-12 13:16:12.944,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,f7592e55-5057-4250-9096-7642d878b0c8,1724976000000,
63060070,,63060070,2025-12-12 13:16:12.955,2025-12-12 13:16:12.955,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,68b9a57b-38f0-4370-8f45-97b44f23b0af,1726704000000,
63060070,,63060070,2025-12-12 13:16:12.982,2025-12-12 13:16:12.982,9,1,bvFPH0+ZC9,com.sec.android.app.shealth,c92298f8-8571-4c52-a702-fe56c13df3d3,1719792000000,
63060070,,63060070,2025-12-12 13:16:13.001,2025-12-12 13:16:13.001,7,1,bvFPH0+ZC9,com.sec.android.app.shealth,81724c1d-5d97-44f1-ac12-5e4f74bce693,1704758400000,
63060070,,63060070,2025-12-12 13:16:13.017,2025-12-12 13:16:13.017,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,8e2d4e21-784a-44f2-b7b1-fae83d112dea,1718064000000,
63060070,,63060070,2025-12-12 13:16:13.031,2025-12-12 13:16:13.031,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,fa024baf-866b-44a3-a0e7-49e56e2deb1b,1703030400000,
63060070,,63060070,2025-12-12 13:16:13.039,2025-12-12 13:16:13.039,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,fb3b7163-d8f8-4985-9317-720403f8b608,1706486400000,
63060070,,63060070,2025-12-12 13:16:13.050,2025-12-12 13:16:13.050,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,e6be8915-d788-41fe-8485-2e88e3ae475d,1701302400000,
63060070,,63060070,2025-12-12 13:16:13.079,2025-12-12 13:16:13.079,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,def35467-49d0-4891-be97-4bcce28c2ddf,1699574400000,
63060070,,63060070,2025-12-12 13:16:13.108,2025-12-12 13:16:13.108,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,416534b5-5c34-4c6f-a725-5d30142366e2,1730764800000,
63060070,,63060070,2025-12-12 13:16:13.124,2025-12-12 13:16:13.124,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,bd2c2480-13c7-4776-9c5d-995bc61e986c,1713398400000,
63060070,,63060070,2025-12-12 13:16:13.133,2025-12-12 13:16:13.133,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,51778b03-3837-4a74-8b1f-66b4a0095cae,1705968000000,
63060070,,63060070,2025-12-12 13:16:13.144,2025-12-12 13:16:13.144,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,fe36c5d4-6606-45d2-bf3e-aa0d5541a3b8,1704240000000,
63060070,,63060070,2025-12-12 13:16:13.162,2025-12-12 13:16:13.162,6,1,bvFPH0+ZC9,com.sec.android.app.shealth,0f674a9a-875f-48af-ac40-f27c56b87577,1702512000000,
63060070,,63060070,2025-12-12 13:16:13.180,2025-12-12 13:16:13.180,7,1,bvFPH0+ZC9,com.sec.android.app.shealth,9832f1b1-eafb-498a-b56e-675fa2d4e3b6,1731283200000,
63060070,,63060070,2025-12-12 13:16:13.188,2025-12-12 13:16:13.188,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,474065a8-b4ea-45b8-9101-6332eace2f6b,1716336000000,
63060070,,63060070,2025-12-12 13:16:13.201,2025-12-12 13:16:13.201,6,1,bvFPH0+ZC9,com.sec.android.app.shealth,bf2d5669-afb8-4faa-a755-222b44a1fa64,1700179200000,
63060070,,63060070,2025-12-12 13:16:13.208,2025-12-12 13:16:13.208,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,3b01d6ea-35c0-45ac-b489-4cc996a330ab,1722643200000,
63060070,,63060070,2025-12-12 13:16:13.217,2025-12-12 13:16:13.217,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,aca57ffd-13ef-449d-9bab-b4bf1464aa5a,1724371200000,
63060070,,63060070,2025-12-12 13:16:13.225,2025-12-12 13:16:13.225,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,209b5ad6-5273-42ca-87b8-b7a65da1cffe,1705363200000,
63060070,,63060070,2025-12-12 13:16:13.233,2025-12-12 13:16:13.233,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,10bacb04-bcd9-44ab-8e7c-1f8ab15203d2,1707091200000,
63060070,,63060070,2025-12-12 13:16:13.239,2025-12-12 13:16:13.239,5,1,bvFPH0+ZC9,com.sec.android.app.shealth,a1dc350f-1f7e-4f76-ab94-3b2a574f114d,1701907200000,
63060070,,63060070,2025-12-12 13:16:13.248,2025-12-12 13:16:13.248,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,7e8f4e54-0da4-4ef4-8441-0f7683758b59,1703116800000,
63060070,,63060070,2025-12-12 13:16:13.256,2025-12-12 13:16:13.256,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,4e0fe0c4-cd57-449a-899d-cd5c977b58a4,1719273600000,
63060070,,63060070,2025-12-12 13:16:13.264,2025-12-12 13:16:13.264,8,1,bvFPH0+ZC9,com.sec.android.app.shealth,b152c760-2d70-49bb-9bc2-4b12a25201cc,1699660800000,
63060070,,63060070,2025-12-12 13:16:13.277,2025-12-12 13:16:13.277,18,1,bvFPH0+ZC9,com.sec.android.app.shealth,fee71716-9b2e-49a9-819a-bf1f4b845610,1704844800000,
