com.samsung.shealth.tracker.pedometer_day_summary,6307003,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
63060070,1930,3f9c284c-8e69-4cf2-b0a0-1c8939e23411.binning_data.json,1047500,6000,63060070,124,2025-12-10 14:24:01.051,com.sec.android.app.shealth,2025-12-10 14:24:01.051,3f9c284c-8e69-4cf2-b0a0-1c8939e23411.source_info.json,1.3871589,1453.05,62.109997,1806,VfS0qUERdZ,com.sec.android.app.shealth,0,3f9c284c-8e69-4cf2-b0a0-1c8939e23411.achievement.json,3f9c284c-8e69-4cf2-b0a0-1c8939e23411,1764806400000,
63060070,15488,e9db0944-2701-4fb8-bbbd-1d02477ee81a.binning_data.json,8597211,6000,63060070,86,2025-12-10 14:24:01.053,com.sec.android.app.shealth,2025-12-10 14:24:01.053,e9db0944-2701-4fb8-bbbd-1d02477ee81a.source_info.json,1.3446243,11560.0205,481.41998,15402,VfS0qUERdZ,com.sec.android.app.shealth,0,e9db0944-2701-4fb8-bbbd-1d02477ee81a.achievement.json,e9db0944-2701-4fb8-bbbd-1d02477ee81a,1764979200000,
63060070,1954,f71d11ac-d015-4807-a2be-64cac5c5004d.binning_data.json,1093051,6000,63060070,4,2025-12-10 14:24:01.059,com.sec.android.app.shealth,2025-12-10 14:24:01.059,f71d11ac-d015-4807-a2be-64cac5c5004d.source_info.json,1.3183001,1440.97,60.69,1950,VfS0qUERdZ,com.sec.android.app.shealth,0,f71d11ac-d015-4807-a2be-64cac5c5004d.achievement.json,f71d11ac-d015-4807-a2be-64cac5c5004d,1764892800000,
63060070,3137,3b3bcec3-d73a-414d-8fa5-5227118e7435.binning_data.json,1790889,7000,63060070,14,2025-12-12 03:00:01.227,com.sec.android.app.shealth,2025-12-10 14:24:15.835,3b3bcec3-d73a-414d-8fa5-5227118e7435.source_info.json,1.2926702,2315.03,102.549995,3123,VfS0qUERdZ,com.sec.android.app.shealth,0,3b3bcec3-d73a-414d-8fa5-5227118e7435.achievement.json,3b3bcec3-d73a-414d-8fa5-5227118e7435,1765324800000,
63060070,769,793a00ac-ab02-4d20-90e7-3ac877a74d4f.binning_data.json,455043,7000,63060070,3,2025-12-12 03:00:01.633,com.sec.android.app.shealth,2025-12-11 03:00:00.692,,1.2932385,588.48,25.56,766,bvFPH0+ZC9,com.sec.android.app.shealth,0,793a00ac-ab02-4d20-90e7-3ac877a74d4f.achievement.json,793a00ac-ab02-4d20-90e7-3ac877a74d4f,1765324800000,
63060070,5134,988c6e75-3d2c-4f34-bced-482706bd83a8.binning_data.json,2690042,7000,63060070,395,2025-12-12 03:00:01.901,com.sec.android.app.shealth,2025-12-11 03:00:00.955,988c6e75-3d2c-4f34-bced-482706bd83a8.source_info.json,1.4649395,3940.75,171.4,4739,VfS0qUERdZ,com.sec.android.app.shealth,0,988c6e75-3d2c-4f34-bced-482706bd83a8.achievement.json,988c6e75-3d2c-4f34-bced-482706bd83a8,1765238400000,
63060070,1954,c9b67036-b069-453b-adac-6c1cea896072.binning_data.json,1093051,6000,63060070,4,2025-12-11 03:00:01.052,com.sec.android.app.shealth,2025-12-11 03:00:01.052,,1.3183001,1440.97,60.69,1950,60rRju/E5J,com.sec.android.app.shealth,0,c9b67036-b069-453b-adac-6c1cea896072.achievement.json,c9b67036-b069-453b-adac-6c1cea896072,1764892800000,
63060070,5134,852e050f-9ffc-4b24-bb7a-8c228f20b0ce.binning_data.json,2690042,7000,63060070,395,2025-12-12 03:00:02.057,com.sec.android.app.shealth,2025-12-11 03:00:01.068,,1.4649395,3940.75,171.4,4739,60rRju/E5J,com.sec.android.app.shealth,0,852e050f-9ffc-4b24-bb7a-8c228f20b0ce.achievement.json,852e050f-9ffc-4b24-bb7a-8c228f20b0ce,1765238400000,
63060070,2962,87db73ff-c150-4b10-a112-bef38779b531.binning_data.json,1687382,7000,63060070,13,2025-12-12 03:00:01.411,com.sec.android.app.shealth,2025-12-11 03:00:01.075,,1.2837101,2166.11,96.299995,2949,60rRju/E5J,com.sec.android.app.shealth,0,87db73ff-c150-4b10-a112-bef38779b531.achievement.json,87db73ff-c150-4b10-a112-bef38779b531,1765324800000,
63060070,15488,2b6d7799-95c9-4569-9970-d606b3fce158.binning_data.json,8597211,6000,63060070,86,2025-12-11 03:00:01.078,com.sec.android.app.shealth,2025-12-11 03:00:01.078,,1.3446243,11560.0205,481.41998,15402,60rRju/E5J,com.sec.android.app.shealth,0,2b6d7799-95c9-4569-9970-d606b3fce158.achievement.json,2b6d7799-95c9-4569-9970-d606b3fce158,1764979200000,
