com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2023-10-11 07:59:55.174,,,1,,2023-10-11 10:59:55.189,2023-10-11 10:59:55.189,,sleep_goal_first_sleep,,,UTC+0000,,zygK3IiKBU,com.sec.android.app.shealth,,Sleep.Goal,2023-10-11 07:59:55.174,3bd887c7-5647-43e2-8b7c-669fe10f54f2,
,2023-10-22 19:28:49.879,11007,,1,,2023-10-22 20:24:28.135,2023-10-22 20:18:44.834,,cycling_goal_first_cycling,,1,UTC-0300,,60rRju/E5J,com.sec.android.app.shealth,677fd241-dd24-4283-86a4-4ab3f86b3fe3,tracker.exercise,2023-10-22 20:18:44.465,c7c7491d-808e-4328-a880-f5d08bdb20b5,
,2023-10-23 11:53:21.553,,,1,,2023-10-23 11:53:22.164,2023-10-23 11:53:22.164,,weight_first_body_check,,,UTC-0300,,60rRju/E5J,com.sec.android.app.shealth,,tracker.weight,2023-10-23 11:53:21.553,f13c3b80-6e44-4793-8b70-de33ea19f812,
,2023-11-27 15:17:06.566,,,1,,2023-11-27 15:17:07.178,2023-11-27 15:17:07.178,,weight_first_body_check,,,UTC-0300,,60rRju/E5J,com.sec.android.app.shealth,,tracker.weight,2023-11-27 15:17:06.566,9c8c7567-e1b9-411a-b40a-136ce2c4679e,
,2024-01-09 16:51:12.423,1001,,1,,2024-01-09 17:03:54.964,2024-01-09 17:03:54.964,,exercise_goal_first_achieve,,,UTC-0300,,60rRju/E5J,com.sec.android.app.shealth,a67d79ed-8218-4a50-b5f3-23a6d19f0aea,tracker.exercise,2024-01-09 17:03:54.715,bdc8ed6f-1d68-4d56-b5de-25b241904159,
,2024-01-09 17:04:01.245,15002,,1,,2024-01-09 17:45:59.557,2024-01-09 17:45:59.557,,exercise_goal_first_achieve,,,UTC-0300,,60rRju/E5J,com.sec.android.app.shealth,012ea6aa-810e-4594-ae67-2b38d07a1f6a,tracker.exercise,2024-01-09 17:45:59.178,384798a4-7d53-46f8-9a6c-8f88a2235a8a,
,2024-01-26 17:22:39.045,1002,,1,,2024-01-26 17:42:47.077,2024-01-26 17:42:47.077,,running_first_run,,,UTC-0300,,60rRju/E5J,com.sec.android.app.shealth,70067e02-1352-4ddb-a269-49c3838350f3,tracker.exercise,2024-01-26 17:42:46.588,182b9471-319e-47b9-8c31-cf4b0b5286c2,
,2024-01-26 18:20:31.556,15003,,1,,2024-01-26 18:50:51.753,2024-01-26 18:50:51.753,,exercise_goal_first_achieve,,,UTC-0300,,60rRju/E5J,com.sec.android.app.shealth,6b89c0cd-4850-4a58-b534-96d8f7f88c4a,tracker.exercise,2024-01-26 18:50:51.461,f480217f-a48b-4616-bd51-2a7993ac351c,
,2024-01-31 16:57:59.052,15005,,1,,2024-01-31 17:13:57.013,2024-01-31 17:13:57.013,,exercise_goal_first_achieve,,,UTC-0300,,60rRju/E5J,com.sec.android.app.shealth,3b0dd871-798a-4638-b980-696c02467fcc,tracker.exercise,2024-01-31 17:13:56.787,ed1306b8-809e-41b5-bf35-0f74b6310b49,
1,2024-07-22 03:00:00.000,,,1,,2024-07-22 15:08:14.851,2024-07-22 15:08:14.851,,sleep_good_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2024-07-23 02:59:59.999,3a87ea89-ef4b-423f-a798-5dacba039b7a,
1,2024-07-26 03:00:00.000,,,1,,2024-07-26 12:44:17.222,2024-07-26 12:44:17.222,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2024-07-27 02:59:59.999,999f9fc0-e744-493c-974b-8d26b0b43f36,
1,2024-07-30 03:00:00.000,,,1,,2024-07-30 15:11:25.250,2024-07-30 15:11:25.250,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2024-07-31 02:59:59.999,fe784761-92a6-4191-ac06-81cac259ccdd,
1,2024-08-14 03:00:00.000,,,1,,2024-08-14 11:15:09.571,2024-08-14 11:15:09.571,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-15 02:59:59.999,99a855b6-7b83-40c8-b12d-331db0a66364,
1,2024-08-16 03:00:00.000,,,1,,2024-08-16 12:44:25.470,2024-08-16 12:44:25.470,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-17 02:59:59.999,0b7876b2-fa37-42a6-843b-a6ab9c0ed631,
,2024-08-20 15:39:36.063,10007,,1,,2024-08-20 16:55:32.241,2024-08-20 16:55:32.241,,exercise_goal_first_achieve,,,UTC-0300,,9cX1oNetDs,com.sec.android.app.shealth,cfa11cad-d9cd-48e1-81cc-0fcd22e14c07,tracker.exercise,2024-08-20 16:55:31.360,7bc67617-1bcf-4153-8b2b-b38f154c037f,
1,2024-08-21 03:00:00.000,,,1,,2024-08-21 12:58:47.179,2024-08-21 12:58:47.179,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-22 02:59:59.999,bdebe709-5063-4040-8bfa-0ef7059ede50,
1,2024-08-24 03:00:00.000,,,1,,2024-08-24 13:03:12.640,2024-08-24 13:03:12.640,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2024-08-25 02:59:59.999,cfa22756-66c3-4963-acba-027983dedc7a,
1,2024-09-11 03:00:00.000,,,1,,2024-09-11 13:03:58.529,2024-09-11 13:03:58.529,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2024-09-12 02:59:59.999,14b33ae3-7eaf-4291-b4ea-8a99eb6f8f63,
1,2024-09-14 03:00:00.000,,,1,,2024-09-14 12:29:11.857,2024-09-14 12:29:11.857,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2024-09-15 02:59:59.999,36467fca-5766-483b-9938-c21b95d7755c,
