com.samsung.shealth.sleep_snoring,6307003,3
duration,create_sh_ver,start_time,custom,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
0,,2023-10-11 03:44:26.754,,,2023-10-11 10:59:42.408,2023-10-11 10:59:42.408,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-11 10:59:42.344,4af99269-377d-4107-89eb-a53a627027c1,
0,,2023-10-12 04:49:47.553,,,2023-10-12 12:51:45.778,2023-10-12 12:51:45.778,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-12 12:51:45.639,cfdf700f-9312-4072-a584-d087555b87b6,
0,,2023-10-14 05:44:13.033,,,2023-10-14 10:13:14.483,2023-10-14 10:13:14.483,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-14 10:13:14.325,1db8a56e-dfea-459f-af9b-dcf364508d5e,
262967,,2023-10-15 05:37:42.584,,,2023-10-15 07:17:19.986,2023-10-15 07:17:19.986,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 05:42:05.551,d96acda3-204a-4eb6-8a5a-3aade1e66707,
115581,,2023-10-15 05:42:42.678,,,2023-10-15 07:17:19.987,2023-10-15 07:17:19.987,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 05:44:38.259,c2127e9f-dc09-4622-8909-c1a289f6b0a3,
0,,2023-10-15 07:57:29.975,,,2023-10-15 10:49:52.912,2023-10-15 10:49:52.912,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 10:49:52.732,2c2e3324-4620-43ba-971a-1b91107d4154,
413734,,2023-10-17 04:24:31.437,,,2023-10-17 11:25:40.107,2023-10-17 11:25:40.107,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-17 04:31:25.171,cf3c71ce-b361-4b9c-8a78-e8949447885d,
81583,,2023-10-19 07:38:19.497,,,2023-10-19 08:16:11.603,2023-10-19 08:16:11.603,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-19 07:39:41.080,ec08af5b-5f54-402a-b505-b63382194878,
257682,,2023-10-19 07:26:53.576,,,2023-10-19 08:16:11.603,2023-10-19 08:16:11.603,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-19 07:31:11.258,8d1bbde8-48b0-4c4a-a1f5-ea9de3fbb5cd,
84642,,2023-10-19 07:24:49.033,,,2023-10-19 08:16:11.602,2023-10-19 08:16:11.602,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-19 07:26:13.675,7b2f1dfa-a758-4acf-bad8-a1a80bc24cea,
0,,2023-10-19 08:26:14.067,,,2023-10-19 09:58:42.775,2023-10-19 09:58:42.775,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-19 09:58:42.643,5e1bb431-990d-4aa1-9350-e5c08eea9e9a,
0,,2023-10-19 10:37:55.988,,,2023-10-19 12:03:27.475,2023-10-19 12:03:27.475,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-19 12:03:27.387,31d0f8dc-5ddc-4fbb-af11-aaf9e51cb0ed,
0,,2023-10-23 05:13:38.178,,,2023-10-23 11:54:27.307,2023-10-23 11:54:27.307,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-23 11:54:27.222,7e6d5c47-76af-48b1-a38e-e6e350597757,
0,,2023-10-26 05:58:30.098,,,2023-10-26 11:54:01.834,2023-10-26 11:54:01.834,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-26 11:54:01.778,a9a4ffee-44b4-40ea-a0c7-da93059761a2,
