com.samsung.shealth.step_daily_trend,6307003,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
266392d6-1ef8-49b7-bb85-f4145527bc6a.binning_data.json,2025-12-10 14:24:01.065,2025-12-10 14:24:01.065,com.sec.android.app.shealth,-2,1930,1.3871589,1453.05,62.109997,VfS0qUERdZ,com.sec.android.app.shealth,266392d6-1ef8-49b7-bb85-f4145527bc6a,1764806400000,
3af2d997-1a81-4115-8c5c-8c78311be535.binning_data.json,2025-12-10 14:24:01.069,2025-12-10 14:24:01.069,com.sec.android.app.shealth,-2,15488,1.3446243,11560.0205,481.41998,VfS0qUERdZ,com.sec.android.app.shealth,3af2d997-1a81-4115-8c5c-8c78311be535,1764979200000,
05aef2d2-50ee-4f1c-a21a-c7ea6310f680.binning_data.json,2025-12-10 14:24:01.072,2025-12-10 14:24:01.072,com.sec.android.app.shealth,-2,1954,1.3183001,1440.97,60.69,VfS0qUERdZ,com.sec.android.app.shealth,05aef2d2-50ee-4f1c-a21a-c7ea6310f680,1764892800000,
8d6ea8c5-0a33-4b98-a688-c5a25e538a8f.binning_data.json,2025-12-12 03:00:01.282,2025-12-10 14:24:15.857,com.sec.android.app.shealth,-2,3137,1.2926702,2315.03,102.549995,VfS0qUERdZ,com.sec.android.app.shealth,8d6ea8c5-0a33-4b98-a688-c5a25e538a8f,1765324800000,
014178c7-7ab3-4346-81ce-94a6860af7a3.binning_data.json,2025-12-12 03:00:01.651,2025-12-11 03:00:00.718,com.sec.android.app.shealth,0,769,1.2932385,588.48,25.56,bvFPH0+ZC9,com.sec.android.app.shealth,014178c7-7ab3-4346-81ce-94a6860af7a3,1765324800000,
634d52a0-0b0e-46ee-b09d-b98268c2aa35.binning_data.json,2025-12-12 03:00:01.929,2025-12-11 03:00:00.978,com.sec.android.app.shealth,-2,5134,1.4649395,3940.75,171.4,VfS0qUERdZ,com.sec.android.app.shealth,634d52a0-0b0e-46ee-b09d-b98268c2aa35,1765238400000,
93d5d963-ad26-4263-9805-ad5770aee98a.binning_data.json,2025-12-11 03:00:01.081,2025-12-11 03:00:01.081,com.sec.android.app.shealth,102,1954,1.3183001,1440.97,60.69,60rRju/E5J,com.sec.android.app.shealth,93d5d963-ad26-4263-9805-ad5770aee98a,1764892800000,
7a234d14-0eda-48d2-8435-f4039e9151a2.binning_data.json,2025-12-12 03:00:02.074,2025-12-11 03:00:01.099,com.sec.android.app.shealth,102,5134,1.4649395,3940.75,171.4,60rRju/E5J,com.sec.android.app.shealth,7a234d14-0eda-48d2-8435-f4039e9151a2,1765238400000,
a732609c-bac7-4d87-8b3d-bb070c0c9467.binning_data.json,2025-12-12 03:00:01.429,2025-12-11 03:00:01.105,com.sec.android.app.shealth,102,2962,1.2837101,2166.11,96.299995,60rRju/E5J,com.sec.android.app.shealth,a732609c-bac7-4d87-8b3d-bb070c0c9467,1765324800000,
7bb82fca-b878-49df-9344-2e28370419c3.binning_data.json,2025-12-11 03:00:01.108,2025-12-11 03:00:01.108,com.sec.android.app.shealth,102,15488,1.3446243,11560.0205,481.41998,60rRju/E5J,com.sec.android.app.shealth,7bb82fca-b878-49df-9344-2e28370419c3,1764979200000,
