com.samsung.shealth.tracker.pedometer_step_count,6307003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
3571,4,0,8,2025-12-04 19:54:00.000,,,2025-12-04 19:54:59.420,2025-12-04 19:54:59.420,8,1.7777778,6.35,0.24,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 19:55:00.000,bc79135c-31f8-47ac-8ef0-19a8805ef4e9,
17000,4,0,34,2025-12-04 20:00:00.000,,,2025-12-04 20:03:10.721,2025-12-04 20:00:20.167,34,1.5787953,26.84,1.0299999,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 20:01:00.000,b36f2e2b-a9f2-4887-a6be-4d3d7ba8c5d6,
12824,4,0,25,2025-12-04 20:01:00.000,,,2025-12-04 20:03:10.915,2025-12-04 20:03:10.915,25,1.4722222,18.88,0.78,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 20:02:00.000,4adb5815-90cb-42ec-aca8-1162c1f8fc3a,
13332,4,0,17,2025-12-04 20:47:00.000,,,2025-12-04 20:49:13.024,2025-12-04 20:49:13.024,17,0.8055556,10.74,0.64,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 20:48:00.000,9e095dab-f855-4450-981e-8230e815f6e5,
4000,4,0,11,2025-12-04 21:17:00.000,,,2025-12-04 21:17:51.551,2025-12-04 21:17:51.551,11,2.2222223,8.89,0.41,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 21:18:00.000,7867b483-0316-40c1-baeb-fd098d34fd07,
4027,4,1,10,2025-12-04 21:26:00.000,,,2025-12-04 21:26:47.940,2025-12-04 21:26:47.940,11,2.2222223,8.95,0.53,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 21:27:00.000,4f86b43b-b78b-48b1-ae83-8f67016bda4a,
38969,4,6,68,2025-12-04 21:28:00.000,,,2025-12-04 21:30:34.290,2025-12-04 21:28:23.209,74,1.4062163,54.8,2.37,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 21:29:00.000,72d0522d-cc00-473a-9800-85f95d37df6f,
10392,4,3,17,2025-12-04 21:29:00.000,,,2025-12-04 21:30:34.373,2025-12-04 21:30:34.373,20,1.4722222,15.3,0.65,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 21:30:00.000,440a4fb5-c66d-4309-920f-589338c2ab9f,
10305,4,0,19,2025-12-04 21:30:00.000,,,2025-12-04 21:33:06.256,2025-12-04 21:33:06.256,19,1.4166666,14.6,0.58,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 21:31:00.000,ec8a9541-081a-4acb-9edc-b92d6311080a,
38290,4,0,57,2025-12-04 21:31:00.000,,,2025-12-04 21:33:06.381,2025-12-04 21:33:06.381,57,1.0000001,38.29,1.79,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 21:32:00.000,0906ff41-60f6-4095-86cb-a8ad71c21a75,
